STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,DESIGNATION,,RET_PERIOD,,TIME_PERIOD,,OBS_VALUE,,DECIMALS,,OBS_STATUS,,OBS_STATUS_2,,PRICE_BASE,,REF_YEAR_PRICE,,UNIT_MULT,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2023,,,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2020,,99.29,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2021,,230.28,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2013,,669.74,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2014,,640.96,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2018,,421.95,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2019,,317.59,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2011,,1585.39,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2012,,536.05,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2016,,420.05,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2017,,441.13,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2022,,230.28,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2010,,1296.22,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2007,,3799.89,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2008,,3678.54,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2009,,2642.13,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,1994,,1022.99,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,1995,,1129.46,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2005,,3329.76,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2006,,3943.99,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,1996,,846.32,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,1997,,1021.43,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2001,,2169.86,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2003,,2790.01,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2004,,3007.33,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,1992,,646.02,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,1993,,745.39,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,1999,,1316.44,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2000,,1964.31,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2002,,2005.83,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,1998,,1195.09,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,1990,,577.86,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,1991,,619.18,,2,,A,,,,,,,,0,
DATAFLOW,OECD.ENV.EPI:DSD_SOE@DF_SOE(1.0),,I,CHL,,A,,MARBUNK,,KT_CO2,,_Z,,_Z,,2015,,413.83,,2,,A,,,,,,,,0,
